fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
