fitness,restarts,max_attempts,max_iters,n_invocations
457.0,10,100,500,5630
457.0,10,100,500,5630
457.0,10,100,500,5630
457.0,10,100,500,5630
457.0,10,100,500,5630
457.0,10,100,500,5630
457.0,10,100,500,5630
457.0,10,100,500,5630
464.0,10,100,500,5630
464.0,10,100,500,5630
474.0,10,100,500,5630
474.0,10,100,500,5630
474.0,10,100,500,5630
479.0,10,100,500,5630
479.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
480.0,10,100,500,5630
485.0,10,100,500,5630
486.0,10,100,500,5630
486.0,10,100,500,5630
486.0,10,100,500,5630
486.0,10,100,500,5630
496.0,10,100,500,5630
496.0,10,100,500,5630
496.0,10,100,500,5630
496.0,10,100,500,5630
496.0,10,100,500,5630
496.0,10,100,500,5630
496.0,10,100,500,5630
496.0,10,100,500,5630
503.0,10,100,500,5630
503.0,10,100,500,5630
503.0,10,100,500,5630
507.0,10,100,500,5630
510.0,10,100,500,5630
510.0,10,100,500,5630
510.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
513.0,10,100,500,5630
518.0,10,100,500,5630
518.0,10,100,500,5630
518.0,10,100,500,5630
518.0,10,100,500,5630
518.0,10,100,500,5630
520.0,10,100,500,5630
520.0,10,100,500,5630
520.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
528.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
538.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
547.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
550.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
551.0,10,100,500,5630
