,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
94,32,1.0,17.291584700000044,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
95,64,1.0,33.55820070000004,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
96,128,1.0,65.66977440000005,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
97,256,1.0,128.9168601,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
98,512,1.0,252.6861477,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
99,0,10.0,0.8592344999999568,"[6, 3, 4, 6, 2, 7, 4, 4]",False,1000,0.25,512
100,1,1.0,1.7710453999999345,"[1.0, 3.0, 5.0, 7.0, 2.0, 4.0, 6.0, 1.0]",False,1000,0.25,512
101,2,1.0,2.7515611000000035,"[1.0, 3.0, 5.0, 7.0, 2.0, 4.0, 6.0, 1.0]",False,1000,0.25,512
102,4,1.0,4.651103599999942,"[1.0, 3.0, 5.0, 7.0, 2.0, 4.0, 6.0, 1.0]",False,1000,0.25,512
103,8,1.0,8.330603200000041,"[1.0, 3.0, 5.0, 7.0, 2.0, 4.0, 6.0, 1.0]",False,1000,0.25,512
104,16,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
105,32,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
106,64,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
107,128,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
108,256,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
109,512,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
110,0,10.0,0.9076659000000973,"[6, 3, 4, 6, 2, 7, 4, 4]",False,1000,0.5,512
111,1,2.0,1.7918245000000752,"[2.0, 7.0, 2.0, 6.0, 3.0, 0.0, 0.0, 5.0]",False,1000,0.5,512
112,2,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
113,4,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
114,8,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
115,16,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
116,32,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
117,64,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
118,128,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
119,256,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
120,512,0.0,2.7890542000000096,"[1.0, 4.0, 6.0, 0.0, 2.0, 7.0, 5.0, 3.0]",False,1000,0.5,512
121,0,10.0,0.8829627000000073,"[6, 3, 4, 6, 2, 7, 4, 4]",False,1000,0.75,512
122,1,2.0,1.7682174999999916,"[6.0, 3.0, 1.0, 7.0, 7.0, 2.0, 7.0, 5.0]",False,1000,0.75,512
123,2,2.0,2.7822365000000673,"[6.0, 3.0, 1.0, 7.0, 7.0, 2.0, 7.0, 5.0]",False,1000,0.75,512
124,4,2.0,4.690999900000065,"[6.0, 3.0, 1.0, 7.0, 7.0, 2.0, 7.0, 5.0]",False,1000,0.75,512
125,8,2.0,8.407653800000048,"[6.0, 3.0, 1.0, 7.0, 7.0, 2.0, 7.0, 5.0]",False,1000,0.75,512
126,16,1.0,15.818596899999989,"[4.0, 1.0, 7.0, 0.0, 2.0, 0.0, 5.0, 3.0]",False,1000,0.75,512
127,32,0.0,18.636183800000026,"[5.0, 3.0, 1.0, 7.0, 4.0, 6.0, 0.0, 2.0]",False,1000,0.75,512
128,64,0.0,18.636183800000026,"[5.0, 3.0, 1.0, 7.0, 4.0, 6.0, 0.0, 2.0]",False,1000,0.75,512
129,128,0.0,18.636183800000026,"[5.0, 3.0, 1.0, 7.0, 4.0, 6.0, 0.0, 2.0]",False,1000,0.75,512
130,256,0.0,18.636183800000026,"[5.0, 3.0, 1.0, 7.0, 4.0, 6.0, 0.0, 2.0]",False,1000,0.75,512
131,512,0.0,18.636183800000026,"[5.0, 3.0, 1.0, 7.0, 4.0, 6.0, 0.0, 2.0]",False,1000,0.75,512
