fitness,schedule,max_attempts,max_iters,n_invocations
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
2.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
5.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
7.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
10.0,GeomDecay,10,500,885
