fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations
72.0,50,0.75,0.1,200,500,25571
72.0,50,0.75,0.1,200,500,25571
72.0,50,0.75,0.1,200,500,25571
72.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
74.0,50,0.75,0.1,200,500,25571
