fitness,restarts,max_attempts,max_iters,n_invocations
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
14.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
15.0,50,200,500,25219
