,Iteration,Time,Fitness,Restarts,max_iters,current_restart
379,379,4.1017069,1.0,25,512,0
380,380,4.102079100000001,1.0,25,512,0
381,381,4.1024511,1.0,25,512,0
382,382,4.1028272,1.0,25,512,0
383,383,4.1033086,1.0,25,512,0
384,384,4.1036801999999994,1.0,25,512,0
385,385,4.104047400000001,1.0,25,512,0
386,386,4.104407200000001,1.0,25,512,0
387,387,4.104763800000001,1.0,25,512,0
388,388,4.1051267,1.0,25,512,0
389,389,4.1054849,1.0,25,512,0
390,390,4.1058457,1.0,25,512,0
391,391,4.106204099999999,1.0,25,512,0
392,392,4.1065618,1.0,25,512,0
393,393,4.1069224,1.0,25,512,0
394,394,4.107281,1.0,25,512,0
395,395,4.107639499999999,1.0,25,512,0
396,396,4.108000800000001,1.0,25,512,0
397,397,4.1083601000000005,1.0,25,512,0
398,398,4.1087194,1.0,25,512,0
399,399,4.1090813,1.0,25,512,0
400,400,4.109441,1.0,25,512,0
401,401,4.1097973,1.0,25,512,0
402,402,4.1101607,1.0,25,512,0
403,403,4.1105214,1.0,25,512,0
404,404,4.110925,1.0,25,512,0
405,405,4.1112856,1.0,25,512,0
406,406,4.1116458,1.0,25,512,0
407,407,4.112009800000001,1.0,25,512,0
408,408,4.1123677999999995,1.0,25,512,0
409,409,4.1127254,1.0,25,512,0
410,410,4.1130891,1.0,25,512,0
411,411,4.113454300000001,1.0,25,512,0
412,412,4.113816,1.0,25,512,0
413,413,4.114247300000001,1.0,25,512,0
414,414,4.1146081,1.0,25,512,0
415,415,4.1149732,1.0,25,512,0
416,416,4.1153336,1.0,25,512,0
417,417,4.115691399999999,1.0,25,512,0
418,418,4.1160537,1.0,25,512,0
419,419,4.1164121,1.0,25,512,0
420,420,4.1167713,1.0,25,512,0
421,421,4.11721,1.0,25,512,0
422,422,4.117572600000001,1.0,25,512,0
423,423,4.1179380000000005,1.0,25,512,0
424,424,4.118299800000001,1.0,25,512,0
425,425,4.1186586,1.0,25,512,0
426,426,4.1190213,1.0,25,512,0
427,427,4.119381300000001,1.0,25,512,0
428,428,4.1197415,1.0,25,512,0
429,429,4.120104100000001,1.0,25,512,0
430,430,4.1204622,1.0,25,512,0
431,431,4.1208214000000005,1.0,25,512,0
432,432,4.1211853000000005,1.0,25,512,0
433,433,4.1215457,1.0,25,512,0
434,434,4.1219099,1.0,25,512,0
435,435,4.1222695,1.0,25,512,0
436,436,4.1226286000000005,1.0,25,512,0
437,437,4.1231069,1.0,25,512,0
438,438,4.1234769,1.0,25,512,0
439,439,4.1238464,1.0,25,512,0
440,440,4.1242818,1.0,25,512,0
441,441,4.1246426,1.0,25,512,0
442,442,4.125079100000001,1.0,25,512,0
443,443,4.125443300000001,1.0,25,512,0
444,444,4.125804500000001,1.0,25,512,0
445,445,4.1261703999999995,1.0,25,512,0
446,446,4.1265334,1.0,25,512,0
447,447,4.126905799999999,1.0,25,512,0
448,448,4.1272666000000005,1.0,25,512,0
449,449,4.127627800000001,1.0,25,512,0
450,450,4.127992900000001,1.0,25,512,0
451,451,4.128354,1.0,25,512,0
452,452,4.1287161,1.0,25,512,0
453,453,4.1291341,1.0,25,512,0
454,454,4.1294982000000005,1.0,25,512,0
455,455,4.1298625,1.0,25,512,0
456,456,4.1302251000000005,1.0,25,512,0
457,457,4.1305844,1.0,25,512,0
458,458,4.1309512999999995,1.0,25,512,0
459,459,4.131310900000001,1.0,25,512,0
460,460,4.1316714999999995,1.0,25,512,0
461,461,4.132076700000001,1.0,25,512,0
462,462,4.1324392,1.0,25,512,0
463,463,4.132803300000001,1.0,25,512,0
464,464,4.1331691,1.0,25,512,0
465,465,4.133527600000001,1.0,25,512,0
466,466,4.133900199999999,1.0,25,512,0
467,467,4.1342637,1.0,25,512,0
468,468,4.134624500000001,1.0,25,512,0
469,469,4.135027300000001,1.0,25,512,0
470,470,4.135393199999999,1.0,25,512,0
471,471,4.135755400000001,1.0,25,512,0
472,472,4.1361907,1.0,25,512,0
473,473,4.1365552,1.0,25,512,0
474,474,4.1369238,1.0,25,512,0
475,475,4.137287199999999,1.0,25,512,0
476,476,4.1376498,1.0,25,512,0
477,477,4.1380167,1.0,25,512,0
478,478,4.138376600000001,1.0,25,512,0
479,479,4.1387374999999995,1.0,25,512,0
480,480,4.139238499999999,1.0,25,512,0
481,481,4.139609399999999,1.0,25,512,0
482,482,4.139979200000001,1.0,25,512,0
483,483,4.1403409,1.0,25,512,0
484,484,4.1407042,1.0,25,512,0
485,485,4.1410713999999995,1.0,25,512,0
486,486,4.1414335,1.0,25,512,0
487,487,4.1417944,1.0,25,512,0
488,488,4.1421624,1.0,25,512,0
489,489,4.142524100000001,1.0,25,512,0
490,490,4.1428932,1.0,25,512,0
491,491,4.143257999999999,1.0,25,512,0
492,492,4.143622499999999,1.0,25,512,0
493,493,4.1440345,1.0,25,512,0
494,494,4.144400300000001,1.0,25,512,0
495,495,4.1447688,1.0,25,512,0
496,496,4.1451396,1.0,25,512,0
497,497,4.145506000000001,1.0,25,512,0
498,498,4.1459185000000005,1.0,25,512,0
499,499,4.1463091,1.0,25,512,0
500,500,4.146675800000001,1.0,25,512,0
501,501,4.1470483,1.0,25,512,0
502,502,4.147411,1.0,25,512,0
503,503,4.147774,1.0,25,512,0
504,504,4.148142,1.0,25,512,0
505,505,4.148505200000001,1.0,25,512,0
506,506,4.1488724,1.0,25,512,0
507,507,4.149236800000001,1.0,25,512,0
508,508,4.149600400000001,1.0,25,512,0
509,509,4.149968400000001,1.0,25,512,0
510,510,4.1503312999999995,1.0,25,512,0
511,511,4.150696099999999,1.0,25,512,0
512,512,4.151060000000001,8.0,25,512,1
513,513,4.1647227,8.0,25,512,1
514,514,4.165408900000001,7.0,25,512,1
515,515,4.1784725,7.0,25,512,1
516,516,4.1923435,6.0,25,512,1
517,517,4.1927509999999995,5.0,25,512,1
518,518,4.2068881000000005,3.0,25,512,1
519,519,4.207591600000001,3.0,25,512,1
520,520,4.208274100000001,3.0,25,512,1
521,521,4.2086500000000004,3.0,25,512,1
522,522,4.2263090000000005,3.0,25,512,1
523,523,4.2266887,3.0,25,512,1
524,524,4.227064800000001,3.0,25,512,1
525,525,4.2274352,3.0,25,512,1
526,526,4.227801599999999,3.0,25,512,1
527,527,4.228172799999999,2.0,25,512,1
528,528,4.228539700000001,2.0,25,512,1
529,529,4.2291723999999995,2.0,25,512,1
530,530,4.2427188000000005,2.0,25,512,1
531,531,4.2431781,2.0,25,512,1
532,532,4.2435562000000004,2.0,25,512,1
533,533,4.2439333,2.0,25,512,1
534,534,4.244301800000001,2.0,25,512,1
535,535,4.244666800000001,2.0,25,512,1
