,Iteration,Time,Fitness,Temperature,max_iters
182,182,0.3121490999999996,1.0,1,8192
183,183,0.3126772,1.0,1,8192
184,184,0.3131732999999999,1.0,1,8192
185,185,0.3136861999999998,1.0,1,8192
186,186,0.3142174999999998,1.0,1,8192
187,187,0.3147110999999998,1.0,1,8192
188,188,0.31516089999999997,1.0,1,8192
189,189,0.3156138999999998,1.0,1,8192
190,190,0.3160577,1.0,1,8192
191,191,0.316503,1.0,1,8192
192,192,0.31695450000000003,1.0,1,8192
193,193,0.3174001999999998,1.0,1,8192
194,194,0.3178589999999999,1.0,1,8192
195,195,0.31830669999999994,1.0,1,8192
196,196,0.31875839999999966,1.0,1,8192
197,197,0.31954959999999977,1.0,1,8192
198,198,0.3200029999999998,1.0,1,8192
199,199,0.32045029999999963,1.0,1,8192
200,200,0.32090149999999973,1.0,1,8192
201,201,0.32134589999999985,1.0,1,8192
202,202,0.3218034999999997,1.0,1,8192
203,203,0.3222508999999998,1.0,1,8192
204,204,0.3227504999999997,1.0,1,8192
205,205,0.3232073,1.0,1,8192
206,206,0.32366129999999993,1.0,1,8192
207,207,0.32443219999999995,1.0,1,8192
208,208,0.3248864,1.0,1,8192
209,209,0.3253332999999996,1.0,1,8192
210,210,0.32578689999999977,1.0,1,8192
211,211,0.3262326,1.0,1,8192
212,212,0.3270179999999998,1.0,1,8192
213,213,0.3274721999999999,1.0,1,8192
214,214,0.3279462999999998,1.0,1,8192
215,215,0.3284267999999999,1.0,1,8192
216,216,0.3289344999999999,1.0,1,8192
217,217,0.32943109999999987,1.0,1,8192
218,218,0.3299082999999996,1.0,1,8192
219,219,0.33040579999999986,1.0,1,8192
220,220,0.3309167999999998,1.0,1,8192
221,221,0.3313811999999996,1.0,1,8192
222,222,0.3318376999999999,1.0,1,8192
223,223,0.33228909999999967,1.0,1,8192
224,224,0.3327498999999996,1.0,1,8192
225,225,0.3332005999999996,1.0,1,8192
226,226,0.3336937,1.0,1,8192
227,227,0.3341499999999997,1.0,1,8192
228,228,0.33463549999999964,1.0,1,8192
229,229,0.33513689999999974,1.0,1,8192
230,230,0.33559819999999974,1.0,1,8192
231,231,0.3360510999999997,1.0,1,8192
232,232,0.3365,1.0,1,8192
233,233,0.336954,1.0,1,8192
234,234,0.3374077999999998,0.0,1,8192
235,235,0.33819889999999964,8.0,10,8192
236,236,0.0005071999999999299,5.0,10,8192
237,237,0.0017841999999999025,5.0,10,8192
238,238,0.0169191999999998,5.0,10,8192
239,239,0.03181409999999962,5.0,10,8192
240,240,0.032610599999999934,5.0,10,8192
241,241,0.04800919999999964,8.0,10,8192
242,242,0.04882659999999994,5.0,10,8192
243,243,0.04964289999999982,7.0,10,8192
244,244,0.05044969999999971,5.0,10,8192
245,245,0.0658502999999997,5.0,10,8192
246,246,0.0666525,7.0,10,8192
247,247,0.06744859999999964,6.0,10,8192
248,248,0.0682463999999996,4.0,10,8192
249,249,0.06900749999999967,5.0,10,8192
250,250,0.06973199999999968,5.0,10,8192
251,251,0.07046229999999998,5.0,10,8192
252,252,0.07119279999999995,5.0,10,8192
253,253,0.08638319999999977,5.0,10,8192
254,254,0.08715039999999963,7.0,10,8192
255,255,0.08789499999999961,7.0,10,8192
256,256,0.08864159999999988,7.0,10,8192
257,257,0.08939119999999967,7.0,10,8192
258,258,0.09014849999999974,7.0,10,8192
259,259,0.0908884999999997,7.0,10,8192
260,260,0.09163309999999969,4.0,10,8192
261,261,0.09237429999999991,4.0,10,8192
262,262,0.09311259999999999,2.0,10,8192
263,263,0.09353329999999982,4.0,10,8192
264,264,0.09426659999999965,6.0,10,8192
265,265,0.0950072999999998,3.0,10,8192
266,266,0.09574529999999992,4.0,10,8192
267,267,0.09652179999999966,3.0,10,8192
268,268,0.09726649999999992,5.0,10,8192
269,269,0.11300519999999992,4.0,10,8192
270,270,0.11382099999999973,5.0,10,8192
271,271,0.11462639999999968,5.0,10,8192
272,272,0.11545169999999993,5.0,10,8192
273,273,0.11621719999999991,4.0,10,8192
274,274,0.1170024999999999,6.0,10,8192
275,275,0.1177501999999997,6.0,10,8192
276,276,0.1184974999999997,5.0,10,8192
277,277,0.11925499999999989,4.0,10,8192
278,278,0.12000219999999961,5.0,10,8192
279,279,0.12074119999999988,4.0,10,8192
280,280,0.12149909999999986,5.0,10,8192
281,281,0.12225439999999965,5.0,10,8192
282,282,0.12301389999999968,7.0,10,8192
283,283,0.12377199999999977,8.0,10,8192
284,284,0.12459119999999979,7.0,10,8192
285,285,0.12553909999999968,7.0,10,8192
286,286,0.1263095999999999,6.0,10,8192
287,287,0.1270815999999999,6.0,10,8192
288,288,0.1278326999999999,7.0,10,8192
289,289,0.1286318999999998,8.0,10,8192
290,290,0.12938379999999983,8.0,10,8192
291,291,0.13013239999999993,7.0,10,8192
292,292,0.13087389999999965,7.0,10,8192
293,293,0.13161289999999992,8.0,10,8192
294,294,0.1323574999999999,10.0,10,8192
295,295,0.13310489999999975,8.0,10,8192
296,296,0.1338461999999998,10.0,10,8192
297,297,0.13457889999999972,11.0,10,8192
298,298,0.1353335999999996,8.0,10,8192
299,299,0.13610729999999993,10.0,10,8192
300,300,0.13693469999999985,10.0,10,8192
301,301,0.15444979999999964,8.0,10,8192
302,302,0.15525049999999974,8.0,10,8192
303,303,0.15603239999999952,7.0,10,8192
304,304,0.15681009999999995,7.0,10,8192
305,305,0.15762719999999986,7.0,10,8192
306,306,0.15852249999999968,7.0,10,8192
307,307,0.1593810999999996,4.0,10,8192
308,308,0.1603397000000002,4.0,10,8192
309,309,0.16120089999999943,4.0,10,8192
310,310,0.16210289999999938,5.0,10,8192
311,311,0.16290489999999958,6.0,10,8192
312,312,0.1636921999999994,6.0,10,8192
313,313,0.16448759999999973,8.0,10,8192
314,314,0.1652783999999996,8.0,10,8192
315,315,0.1660613999999998,7.0,10,8192
316,316,0.16683509999999968,6.0,10,8192
317,317,0.16761079999999984,6.0,10,8192
318,318,0.16837860000000004,6.0,10,8192
319,319,0.1688228999999999,5.0,10,8192
320,320,0.16961359999999948,6.0,10,8192
321,321,0.17038049999999982,5.0,10,8192
322,322,0.17119729999999977,7.0,10,8192
323,323,0.17196869999999942,7.0,10,8192
324,324,0.1727487000000001,6.0,10,8192
325,325,0.17367009999999938,6.0,10,8192
326,326,0.1746101999999996,6.0,10,8192
327,327,0.17555319999999996,6.0,10,8192
328,328,0.1764654000000001,6.0,10,8192
329,329,0.17751919999999943,4.0,10,8192
330,330,0.17803229999999948,4.0,10,8192
331,331,0.17883830000000023,4.0,10,8192
332,332,0.1796403999999998,7.0,10,8192
333,333,0.18010929999999936,6.0,10,8192
334,334,0.1809027999999997,6.0,10,8192
335,335,0.18173839999999997,5.0,10,8192
336,336,0.18220910000000012,5.0,10,8192
337,337,0.18300319999999948,6.0,10,8192
338,338,0.18379639999999986,4.0,10,8192
339,339,0.18460359999999953,4.0,10,8192
340,340,0.18548739999999997,6.0,10,8192
341,341,0.18603999999999976,5.0,10,8192
342,342,0.1868493,5.0,10,8192
343,343,0.18765519999999958,5.0,10,8192
344,344,0.1884519,5.0,10,8192
345,345,0.18924459999999987,6.0,10,8192
346,346,0.1900299999999997,6.0,10,8192
347,347,0.1908331999999997,7.0,10,8192
348,348,0.19146140000000011,8.0,10,8192
349,349,0.1923847999999997,9.0,10,8192
350,350,0.19328229999999946,10.0,10,8192
351,351,0.19419120000000012,10.0,10,8192
352,352,0.19504529999999987,9.0,10,8192
353,353,0.1958848999999998,8.0,10,8192
354,354,0.19668299999999972,8.0,10,8192
355,355,0.19754919999999965,8.0,10,8192
356,356,0.1984233999999998,8.0,10,8192
357,357,0.19922260000000014,7.0,10,8192
358,358,0.20000289999999987,7.0,10,8192
359,359,0.20077809999999952,8.0,10,8192
360,360,0.2015655999999999,8.0,10,8192
361,361,0.2023889999999997,7.0,10,8192
362,362,0.2031727999999995,8.0,10,8192
363,363,0.2039418999999998,8.0,10,8192
364,364,0.20471429999999957,8.0,10,8192
365,365,0.22317860000000023,9.0,10,8192
366,366,0.22365819999999959,8.0,10,8192
367,367,0.2245263999999998,8.0,10,8192
368,368,0.22546739999999987,8.0,10,8192
369,369,0.2263240999999998,8.0,10,8192
370,370,0.22719129999999987,4.0,10,8192
371,371,0.22797819999999946,5.0,10,8192
372,372,0.2287370000000002,6.0,10,8192
373,373,0.22950209999999993,6.0,10,8192
374,374,0.23026360000000023,6.0,10,8192
375,375,0.23105039999999955,6.0,10,8192
376,376,0.23182239999999998,6.0,10,8192
377,377,0.23227369999999992,6.0,10,8192
