,Iteration,Time,Fitness,Temperature,max_iters
63,63,0.11258459999999992,2.0,1,8192
64,64,0.11297840000000114,2.0,1,8192
65,65,0.12720589999999987,2.0,1,8192
66,66,0.1274954000000008,2.0,1,8192
67,67,0.12779910000000072,2.0,1,8192
68,68,0.1282224000000003,2.0,1,8192
69,69,0.12871520000000025,1.0,1,8192
70,70,0.12914720000000024,1.0,1,8192
71,71,0.12933729999999954,1.0,1,8192
72,72,0.12958090000000055,1.0,1,8192
73,73,0.12982389999999988,1.0,1,8192
74,74,0.13008620000000093,1.0,1,8192
75,75,0.13032660000000007,1.0,1,8192
76,76,0.13053550000000058,1.0,1,8192
77,77,0.13079199999999958,1.0,1,8192
78,78,0.1311239999999998,1.0,1,8192
79,79,0.1314655000000009,1.0,1,8192
80,80,0.13177450000000057,1.0,1,8192
81,81,0.13209780000000038,1.0,1,8192
82,82,0.13236080000000072,1.0,1,8192
83,83,0.13272500000000065,1.0,1,8192
84,84,0.13292520000000074,1.0,1,8192
85,85,0.13319420000000015,1.0,1,8192
86,86,0.13335630000000087,1.0,1,8192
87,87,0.1335860000000011,1.0,1,8192
88,88,0.13381780000000099,1.0,1,8192
89,89,0.13397229999999993,1.0,1,8192
90,90,0.13425529999999952,0.0,1,8192
91,91,0.13451900000000094,5.0,10,8192
92,92,0.00017619999999851643,3.0,10,8192
93,93,0.0008141999999988769,4.0,10,8192
94,94,0.013902499999998597,4.0,10,8192
95,95,0.025371299999999763,5.0,10,8192
96,96,0.02564229999999945,4.0,10,8192
97,97,0.03740129999999908,5.0,10,8192
98,98,0.037669899999999146,7.0,10,8192
99,99,0.037970899999999475,8.0,10,8192
100,100,0.03822109999999945,8.0,10,8192
101,101,0.05046190000000017,10.0,10,8192
102,102,0.05071709999999996,10.0,10,8192
103,103,0.0510003999999995,10.0,10,8192
104,104,0.05128289999999858,9.0,10,8192
105,105,0.0515623999999999,9.0,10,8192
106,106,0.051831299999999914,9.0,10,8192
107,107,0.05211969999999866,9.0,10,8192
108,108,0.05239839999999951,9.0,10,8192
109,109,0.06453810000000004,8.0,10,8192
110,110,0.06481020000000015,8.0,10,8192
111,111,0.06506860000000003,9.0,10,8192
112,112,0.0653264,10.0,10,8192
113,113,0.06558309999999956,9.0,10,8192
114,114,0.06584119999999949,10.0,10,8192
115,115,0.066098199999999,12.0,10,8192
116,116,0.06635349999999995,11.0,10,8192
117,117,0.06659729999999975,10.0,10,8192
118,118,0.06682889999999908,11.0,10,8192
119,119,0.06706359999999911,11.0,10,8192
120,120,0.06729580000000013,10.0,10,8192
121,121,0.06752879999999983,9.0,10,8192
122,122,0.06775589999999987,10.0,10,8192
123,123,0.0679868999999993,8.0,10,8192
124,124,0.06821579999999905,8.0,10,8192
125,125,0.08026609999999934,7.0,10,8192
126,126,0.08053679999999908,6.0,10,8192
127,127,0.08079210000000003,5.0,10,8192
128,128,0.08104990000000001,5.0,10,8192
129,129,0.08130009999999999,5.0,10,8192
130,130,0.08155169999999856,5.0,10,8192
131,131,0.08180569999999854,5.0,10,8192
132,132,0.08206249999999926,4.0,10,8192
133,133,0.08231479999999891,5.0,10,8192
134,134,0.08256019999999964,5.0,10,8192
135,135,0.0828136999999991,5.0,10,8192
136,136,0.08306919999999884,5.0,10,8192
137,137,0.08332240000000013,4.0,10,8192
138,138,0.08357230000000015,5.0,10,8192
139,139,0.08380640000000028,5.0,10,8192
140,140,0.08404449999999919,5.0,10,8192
141,141,0.08427760000000006,5.0,10,8192
142,142,0.08442969999999939,6.0,10,8192
143,143,0.08466129999999872,5.0,10,8192
