,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
90,90,9.0239483,3.0,False,10,0.5,512
91,91,9.257652999999998,3.0,False,10,0.5,512
92,92,9.4922653,3.0,False,10,0.5,512
93,93,9.726029099999998,3.0,False,10,0.5,512
94,94,9.960258799999998,3.0,False,10,0.5,512
95,95,10.194191199999999,3.0,False,10,0.5,512
96,96,10.4308768,3.0,False,10,0.5,512
97,97,10.6635937,3.0,False,10,0.5,512
98,98,10.8979122,3.0,False,10,0.5,512
99,99,11.130451,3.0,False,10,0.5,512
100,100,11.362718399999999,3.0,False,10,0.5,512
101,101,11.594139900000002,3.0,False,10,0.5,512
102,102,11.828103900000002,2.0,False,10,0.75,512
103,103,12.061386900000002,2.0,False,10,0.75,512
104,104,0.00134639999999564,2.0,False,10,0.75,512
105,105,0.23966249999999434,2.0,False,10,0.75,512
106,106,0.49909809999999766,2.0,False,10,0.75,512
107,107,0.7538796999999988,2.0,False,10,0.75,512
108,108,0.9942325999999966,2.0,False,10,0.75,512
109,109,1.2479575999999994,2.0,False,10,0.75,512
110,110,1.4883388999999951,2.0,False,10,0.75,512
111,111,1.7261864999999972,2.0,False,10,0.75,512
112,112,1.9622118999999998,2.0,False,10,0.75,512
113,113,2.209785799999999,2.0,False,10,0.75,512
114,114,2.450218199999995,2.0,False,10,0.75,512
115,115,2.6812989999999957,2.0,False,10,0.75,512
116,116,2.915595599999996,2.0,False,10,0.75,512
117,117,3.1494599999999977,2.0,False,10,0.75,512
118,118,3.3890923999999956,2.0,False,10,0.75,512
119,119,3.6223790999999963,2.0,False,10,0.75,512
120,120,3.8594422999999978,2.0,False,10,0.75,512
