fitness,schedule,max_attempts,max_iters,n_invocations,time
262.0,GeomDecay,50,500,235,0.009283699999997452
262.0,GeomDecay,50,500,235,0.009283699999997452
262.0,GeomDecay,50,500,235,0.009283699999997452
262.0,GeomDecay,50,500,235,0.009283699999997452
262.0,GeomDecay,50,500,235,0.009283699999997452
262.0,GeomDecay,50,500,235,0.009283699999997452
262.0,GeomDecay,50,500,235,0.009283699999997452
262.0,GeomDecay,50,500,235,0.009283699999997452
262.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
264.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
268.0,GeomDecay,50,500,235,0.009283699999997452
269.0,GeomDecay,50,500,235,0.009283699999997452
269.0,GeomDecay,50,500,235,0.009283699999997452
271.0,GeomDecay,50,500,235,0.009283699999997452
271.0,GeomDecay,50,500,235,0.009283699999997452
271.0,GeomDecay,50,500,235,0.009283699999997452
279.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
281.0,GeomDecay,50,500,235,0.009283699999997452
283.0,GeomDecay,50,500,235,0.009283699999997452
283.0,GeomDecay,50,500,235,0.009283699999997452
283.0,GeomDecay,50,500,235,0.009283699999997452
